Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Mother's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Grade_Improvement,Approval_Rate_1st_Sem,Approval_Rate_2nd_Sem,Approval_Rate_Improvement,Total_Units_Approved,Average_Grade,Units_Without_Eval,Grade_Consistency,Parental_Education_Avg,Financial_Support_Score,Age_X_PrevQual,Admission_X_1stSemGrade
1,39,1,9500,1,1,110.0,1,1,9,126.0,1,0,0,1,1,0,27,0,0,7,7,7,14.085714285714284,0,0,7,7,7,14.085714285714284,0,7.6,2.6,0.32,0.0,1.0,1.0,0.0,14,14.085714285714284,0,0.0,19.0,1,2970.0,1774.7999999999997
1,1,1,9238,1,1,154.0,1,38,9,156.5,1,1,0,1,0,1,18,0,0,6,8,6,11.714285714285714,0,0,6,6,6,14.666666666666666,0,12.7,3.7,-1.7,2.9523809523809526,1.0,1.0,0.0,12,13.19047619047619,0,2.9523809523809526,38.0,2,2772.0,1833.2857142857142
1,1,2,9670,1,1,130.0,1,38,5,123.4,1,0,0,1,0,0,21,0,0,5,5,4,11.75,0,0,5,5,3,13.333333333333334,0,9.4,-0.8,-3.12,1.583333333333334,0.8,0.6,-0.20000000000000007,7,12.541666666666668,0,1.583333333333334,37.5,1,2730.0,1449.95
1,1,1,9853,1,1,128.0,1,1,9,120.0,1,0,0,1,0,0,18,0,0,6,11,3,12.0,0,0,6,13,2,12.0,0,12.7,3.7,-1.7,0.0,0.5,0.3333333333333333,-0.16666666666666669,5,12.0,0,0.0,1.0,1,2304.0,1440.0
1,7,1,9556,1,3,130.0,1,1,4,130.0,0,0,0,0,1,0,23,0,3,7,7,3,13.666666666666666,0,3,8,8,3,11.333333333333334,4,10.8,1.4,1.74,-2.333333333333332,0.42857142857142855,0.375,-0.05357142857142855,6,12.5,4,2.333333333333332,19.0,0,2990.0,1776.6666666666665
1,1,2,9773,1,1,140.0,1,38,5,126.4,1,0,0,1,1,1,18,0,0,6,8,6,12.666666666666666,0,0,6,6,6,13.5,0,12.7,3.7,-1.7,0.8333333333333339,1.0,1.0,0.0,12,13.083333333333332,0,0.8333333333333339,38.0,2,2520.0,1601.0666666666666
2,39,1,9003,1,19,133.1,1,37,9,140.0,0,0,1,1,0,0,29,0,0,6,11,5,12.6,0,0,6,6,6,12.666666666666666,0,11.1,0.6,2.02,0.06666666666666643,0.8333333333333334,1.0,0.16666666666666663,11,12.633333333333333,0,0.06666666666666643,28.0,0,3859.8999999999996,1764.0
1,1,2,171,1,1,140.0,1,1,3,138.3,1,0,0,1,0,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,12.4,0.5,1.79,0.0,0.0,0.0,0.0,0,0.0,0,0.0,2.0,1,2520.0,0.0
1,17,4,9070,1,1,144.0,1,38,9,137.4,1,0,0,1,1,0,19,0,0,6,6,6,13.833333333333334,0,0,6,8,6,13.125,0,10.8,1.4,1.74,-0.7083333333333339,1.0,1.0,0.0,12,13.479166666666668,0,0.7083333333333339,19.5,1,2736.0,1900.7000000000003
1,1,1,9085,1,1,133.1,1,38,1,115.0,1,0,0,1,0,0,21,0,0,5,8,3,11.333333333333334,1,0,5,8,3,13.333333333333334,0,12.7,3.7,-1.7,2.0,0.6,0.6,0.0,6,12.333333333333334,1,2.0,37.5,1,2795.1,1303.3333333333335
1,42,1,9500,1,1,100.0,1,19,9,100.0,0,0,1,1,1,0,24,0,0,8,16,2,10.25,1,0,8,16,2,10.25,1,12.7,3.7,-1.7,0.0,0.25,0.25,0.0,4,10.25,2,0.0,19.0,0,2400.0,1025.0
1,1,1,9119,1,1,148.0,1,19,9,129.8,0,0,0,0,1,1,18,0,0,5,6,5,15.0,0,0,5,6,5,14.2,0,8.9,1.4,3.51,-0.8000000000000007,1.0,1.0,0.0,10,14.6,0,0.8000000000000007,19.0,1,2664.0,1947.0000000000002
2,39,1,9670,1,1,130.0,1,37,9,158.0,0,0,1,0,0,0,34,0,0,6,7,4,13.5,0,0,6,6,0,0.0,6,12.7,3.7,-1.7,-13.5,0.6666666666666666,0.0,-0.6666666666666666,4,6.75,6,13.5,37.0,-1,4420.0,2133.0
1,7,1,9003,1,3,130.0,1,3,6,130.0,1,0,0,1,1,0,29,0,1,6,10,6,17.11111111111111,0,2,6,9,6,15.571428571428571,0,13.9,-0.3,0.79,-1.5396825396825395,1.0,1.0,0.0,12,16.341269841269842,0,1.5396825396825395,3.0,1,3770.0,2224.4444444444443
1,39,1,9500,1,19,133.1,1,37,9,120.0,0,0,0,0,0,1,39,0,0,7,14,3,11.5,0,0,7,9,2,10.5,0,16.2,0.3,-0.92,-1.0,0.42857142857142855,0.2857142857142857,-0.14285714285714285,5,11.0,0,1.0,37.0,1,5190.9,1380.0
1,1,2,9070,1,1,124.0,1,19,9,123.7,1,0,0,1,0,1,18,0,1,6,8,6,12.714285714285714,1,0,6,8,6,12.625,0,13.9,-0.3,0.79,-0.08928571428571352,1.0,1.0,0.0,12,12.669642857142858,1,0.08928571428571352,10.0,2,2232.0,1572.7571428571428
1,17,6,9500,1,1,148.0,1,1,3,131.7,1,0,0,1,0,0,19,0,0,7,8,5,14.0,0,0,7,7,0,0.0,0,13.9,-0.3,0.79,-14.0,0.7142857142857143,0.0,-0.7142857142857143,5,7.0,0,14.0,10.0,1,2812.0,1843.7999999999997
1,17,1,9773,1,1,125.0,1,37,5,120.1,0,0,0,1,0,1,18,0,0,6,7,6,12.5,0,0,6,8,6,13.333333333333334,0,16.2,0.3,-0.92,0.8333333333333339,1.0,1.0,0.0,12,12.916666666666668,0,0.8333333333333339,37.0,2,2250.0,1501.25
1,1,1,9147,1,1,120.0,1,1,7,111.3,0,0,0,1,1,1,18,0,0,5,10,4,10.8,0,0,5,10,4,11.75,0,15.5,2.8,-4.06,0.9499999999999993,0.8,0.8,0.0,8,11.275,0,0.9499999999999993,10.0,2,2160.0,1202.04
1,1,2,9773,1,1,116.0,1,1,4,127.6,1,0,0,1,0,1,19,0,0,6,7,6,13.857142857142858,0,0,6,7,6,13.142857142857142,0,13.9,-0.3,0.79,-0.7142857142857153,1.0,1.0,0.0,12,13.5,0,0.7142857142857153,10.0,2,2204.0,1768.1714285714286
